word,length,syllable_types,difficulty_score,cluster_density,orthographic_transparency,consonant_clusters,syllable_boundary_ambiguity,meaningfulness_score,morphological_complexity,letter_confusability,ascender_descender_density,spatial_crowding
Vůrnice,7,CVCCVCV,3.0,0.5714285714285714,1.32,"['v', 'rn', 'c']",3,0.6,2.0,2,0.0,8.80416293326593
lobu,4,CVCV,2.0,0.5,1.0,"['l', 'b']",1,0.6,1.0,0,0.5,8.244590536342239
saná,4,CVCV,2.0,0.5,1.1,"['s', 'n']",1,0.6,1.5,0,0.0,14.285714285714286
ladiv,5,CVCVC,2.5,0.6,1.0,"['l', 'd', 'v']",1,0.6,1.0,2,0.4,8.146815680132567
Šini,4,CVCV,2.0,0.5,1.1,"['š', 'n']",1,0.6,1.0,2,0.0,6.959432277565859
se,2,CV,1.0,0.5,1.0,['s'],0,0.6,1.5,0,0.0,14.285714285714286
zonaj,5,CVCVC,2.5,0.6,1.0,"['z', 'n', 'j']",1,0.6,1.5,0,0.2,8.417508417508419
olitače,7,VCVCVCV,2.5,0.42857142857142855,1.1,"['l', 't', 'č']",3,0.6,1.0,4,0.14285714285714285,7.588885417389856
a,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
jiprá,5,CVCCV,2.5,0.6,1.1,"['j', 'pr']",1,0.6,1.0,2,0.4,8.797734083340345
tibý,4,CVCV,2.0,0.5,1.1,"['t', 'b']",1,0.6,1.0,0,0.5,8.747202683450883
sa,2,CV,1.0,0.5,1.0,['s'],0,0.6,1.5,0,0.0,14.285714285714286
takode,6,CVCVCV,2.5,0.5,1.0,"['t', 'k', 'd']",2,0.6,1.0,2,0.3333333333333333,10.661019103855828
koumi,5,CVVCV,2.0,0.4,1.2,"['k', 'm']",1,0.6,1.0,2,0.2,5.3418803418803416
toudíc,6,CVVCVC,2.5,0.5,1.32,"['t', 'd', 'c']",1,0.6,1.0,2,0.16666666666666666,10.661019103855828
Vazpíla,7,CVCCVCV,3.0,0.5714285714285714,1.1,"['v', 'zp', 'l']",3,0.6,1.5,0,0.2857142857142857,8.761702570829664
mupotá,6,CVCVCV,2.5,0.5,1.1,"['m', 'p', 't']",2,0.6,1.0,2,0.16666666666666666,6.068105891786793
sidóla,6,CVCVCV,2.5,0.5,1.1,"['s', 'd', 'l']",2,0.6,1.5,2,0.3333333333333333,8.127136196233101
lib,3,CVC,2.0,0.6666666666666666,1.0,"['l', 'b']",0,0.6,1.0,2,0.6666666666666666,9.083269866378172
mozdá,5,CVCCV,2.5,0.6,1.1,"['m', 'zd']",2,0.6,1.0,0,0.2,5.980861244019138
rompulo,7,CVCCVCV,3.0,0.5714285714285714,1.0,"['r', 'mp', 'l']",3,0.6,1.0,4,0.2857142857142857,5.917336605329928
sa,2,CV,1.0,0.5,1.0,['s'],0,0.6,1.5,0,0.0,14.285714285714286
řazvíty,7,CVCCVCV,3.0,0.5714285714285714,1.2100000000000002,"['ř', 'zv', 't']",2,0.6,1.0,0,0.14285714285714285,10.803052451725982
Hoče,4,CVCV,2.0,0.5,1.1,"['h', 'č']",1,0.6,1.0,2,0.25,9.625248562041895
se,2,CV,1.0,0.5,1.0,['s'],0,0.6,1.5,0,0.0,14.285714285714286
hašlá,5,CVCCV,2.5,0.6,1.2100000000000002,"['h', 'šl']",1,0.6,1.0,0,0.4,7.427979002473809
řilozá,6,CVCVCV,2.5,0.5,1.2100000000000002,"['ř', 'l', 'z']",2,0.6,1.0,2,0.16666666666666666,8.127136196233101
stým,4,CCVC,3.5,0.75,1.1,"['st', 'm']",1,0.6,1.5,0,0.25,5.333333333333333
a,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
ravízda,7,CVCVCCV,3.0,0.5714285714285714,1.1,"['r', 'v', 'zd']",3,0.6,1.0,0,0.14285714285714285,10.803052451725982
Douje,5,CVVCV,2.0,0.4,1.2,"['d', 'j']",1,0.6,1.0,2,0.4,8.417508417508419
bocha,5,CVCCV,2.5,0.6,1.3,"['b', 'ch']",1,0.6,1.0,2,0.4,14.285714285714286
šakve,5,CVCCV,2.5,0.6,1.1,"['š', 'kv']",1,0.6,1.0,0,0.2,9.920634920634916
lámě,4,CVCV,2.0,0.5,1.8150000000000004,"['l', 'm']",1,0.6,1.0,0,0.25,4.952005404599565
Tašelá,6,CVCVCV,2.5,0.5,1.2100000000000002,"['t', 'š', 'l']",2,0.6,1.0,0,0.16666666666666666,7.7207793864214445
sně,3,CCV,3.0,0.6666666666666666,1.6500000000000001,['sn'],0,0.6,1.5,0,0.0,14.28571428571427
pronitě,7,CCVCVCV,3.0,0.5714285714285714,1.6500000000000001,"['pr', 'n', 't']",2,0.6,1.5,0,0.14285714285714285,8.999810998449618
šere,4,CVCV,2.0,0.5,1.1,"['š', 'r']",1,0.6,1.0,4,0.0,8.368377680384356
Každépo,7,CVCCVCV,3.0,0.5714285714285714,1.2100000000000002,"['k', 'žd', 'p']",3,0.6,1.0,2,0.42857142857142855,10.37093035365694
rytách,6,CVCVCC,3.0,0.6666666666666666,1.4300000000000002,"['r', 't', 'ch']",2,0.6,1.0,0,0.3333333333333333,10.194341384744389
pronity,7,CCVCVCV,3.0,0.5714285714285714,1.0,"['pr', 'n', 't']",2,0.6,1.5,0,0.2857142857142857,8.999810998449618
harto,5,CVCCV,2.5,0.6,1.0,"['h', 'rt']",2,0.6,1.0,0,0.2,10.169498633240918
e,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
šere,4,CVCV,2.0,0.5,1.1,"['š', 'r']",1,0.6,1.0,4,0.0,8.368377680384356
chlera,6,CCCVCV,3.0,0.6666666666666666,1.3,"['chl', 'r']",1,0.6,1.0,2,0.3333333333333333,8.722611107964063
dlypo,5,CCVCV,2.5,0.6,1.0,"['dl', 'p']",1,0.6,1.0,2,0.8,8.417508417508419
Desedé,6,CVCVCV,2.5,0.5,1.1,"['d', 's', 'd']",2,0.6,1.0,6,0.3333333333333333,14.285714285714267
a,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
haralice,8,CVCVCVCV,3.0,0.5,1.0,"['h', 'r', 'l', 'c']",3,0.6,1.5,4,0.25,8.447301681007286
o,1,V,1.0,0.0,1.0,[],0,0.6,1.0,0,0.0,14.285714285714286
kačeza,6,CVCVCV,2.5,0.5,1.1,"['k', 'č', 'z']",2,0.6,1.3,0,0.16666666666666666,10.165157750188111
te,2,CV,1.0,0.5,1.0,['t'],0,0.6,1.0,0,0.0,10.256410256410259
krozdoníka,10,CCVCCVCVCV,4.0,0.6,1.1,"['kr', 'zd', 'n', 'k']",4,0.6,1.5,2,0.3,11.148272017837233
Krozdoník,9,CCVCCVCVC,4.0,0.6666666666666666,1.1,"['kr', 'zd', 'n', 'k']",3,0.6,1.5,2,0.3333333333333333,11.045015530171423
subaj,5,CVCVC,2.5,0.6,1.0,"['s', 'b', 'j']",1,0.6,1.5,0,0.4,8.417508417508419
šelprí,6,CVCCCV,3.0,0.6666666666666666,1.2100000000000002,"['š', 'lpr']",2,0.6,1.0,0,0.3333333333333333,7.7207793864214445
kýmlech,7,CVCCVCC,3.5,0.7142857142857143,1.4300000000000002,"['k', 'ml', 'ch']",2,0.6,1.0,2,0.5714285714285714,5.944137368036671
remhol,6,CVCCVC,3.0,0.6666666666666666,1.0,"['r', 'mh', 'l']",2,0.6,1.0,2,0.3333333333333333,5.6520560534137125
s,1,C,1.5,1.0,1.0,['s'],0,0.6,1.5,0,0.0,14.285714285714286
hanymítory,10,CVCVCVCVCV,3.5,0.5,1.1,"['h', 'n', 'm', 't', 'r']",4,0.6,1.0,4,0.3,6.890555695000785
šeremi,6,CVCVCV,2.5,0.5,1.1,"['š', 'r', 'm']",2,0.6,1.0,4,0.0,5.424454618430791
pakaty,6,CVCVCV,2.5,0.5,1.0,"['p', 'k', 't']",2,0.6,1.0,0,0.5,10.661019103855828
um,2,VC,1.5,0.5,1.0,['m'],0,0.6,1.5,2,0.0,4.705882352941177
zysly,5,CVCCV,2.5,0.6,1.0,"['z', 'sl']",1,0.6,1.5,0,0.6,8.417508417508419
iz,2,VC,1.5,0.5,1.0,['z'],0,0.6,1.0,0,0.0,8.333333333333334
