word,length,syllable_types,difficulty_score,cluster_density,orthographic_transparency,consonant_clusters,syllable_boundary_ambiguity,meaningfulness_score,morphological_complexity,letter_confusability,ascender_descender_density,spatial_crowding
Malý,4,CVCV,2.0,0.5,1.1,"['m', 'l']",1,0.9,1.0,0,0.5,4.952005404599566
Pepík,5,CVCVC,2.5,0.6,1.1,"['p', 'p', 'k']",1,0.9,1.5,2,0.6,14.285714285714286
raději,6,CVCVCV,2.5,0.5,1.6500000000000001,"['r', 'd', 'j']",2,0.9,1.0,2,0.3333333333333333,8.545971792725043
četl,4,CVCC,3.0,0.75,1.1,"['č', 'tl']",1,0.9,1.0,0,0.25,7.263630076916605
doma,4,CVCV,2.0,0.5,1.0,"['d', 'm']",1,0.9,1.0,0,0.25,5.612445385133758
knížky,6,CCVCCV,3.0,0.6666666666666666,1.2100000000000002,"['kn', 'žk']",2,0.9,1.0,0,0.5,10.165157750188113
plné,4,CCCV,4.0,0.75,1.1,['pln'],1,0.9,1.0,0,0.5,8.244590536342239
dobrodružství,13,CVCCVCCVCCCCV,5.5,0.6923076923076923,1.2100000000000002,"['d', 'br', 'dr', 'žstv']",4,0.9,1.5,7,0.23076923076923078,9.528588114805823
než,3,CVC,2.0,0.6666666666666666,1.1,"['n', 'ž']",0,0.9,1.0,0,0.0,9.267583077040351
aby,3,VCV,1.5,0.3333333333333333,1.0,['b'],1,0.9,1.0,0,0.6666666666666666,14.28571428571427
skotačil,8,CCVCVCVC,3.5,0.625,1.1,"['sk', 't', 'č', 'l']",3,0.9,1.8,2,0.25,7.692307692307693
s,1,C,1.5,1.0,1.0,['s'],0,0.9,1.5,0,0.0,14.285714285714286
dětmi,5,CVCCV,2.5,0.6,1.6500000000000001,"['d', 'tm']",1,0.9,1.0,0,0.2,5.343809944985327
venku,5,CVCCV,2.5,0.6,1.0,"['v', 'nk']",2,0.9,1.5,2,0.2,14.285714285714286
Možná,5,CVCCV,2.5,0.6,1.2100000000000002,"['m', 'žn']",1,0.9,1.0,2,0.0,5.918460789496441
k,1,C,1.5,1.0,1.0,['k'],0,0.9,1.0,0,1.0,14.285714285714286
tomu,4,CVCV,2.0,0.5,1.0,"['t', 'm']",1,0.9,1.0,2,0.0,5.333333333333333
přispěla,8,CCVCCVCV,3.5,0.625,1.8150000000000004,"['př', 'sp', 'l']",3,0.9,1.5,4,0.375,8.244590536342237
i,1,V,1.0,0.0,1.0,[],0,0.9,1.0,0,0.0,20.0
nemocná,7,CVCVCCV,3.0,0.5714285714285714,1.1,"['n', 'm', 'cn']",2,0.9,1.0,8,0.0,6.567304688125836
noha,4,CVCV,2.0,0.5,1.0,"['n', 'h']",1,0.9,1.0,2,0.25,14.285714285714286
která,5,CCVCV,2.5,0.6,1.1,"['kt', 'r']",1,0.9,1.0,0,0.2,10.169498633240918
mu,2,CV,1.0,0.5,1.0,['m'],0,0.9,1.0,2,0.0,4.705882352941177
